behavior	current_file	current_function	category	generic_or_project	runtime_or_policy	source_of_truth	duplicated	contract_drift	risk	recommended_action	priority	evidence
"Export PDF: Playwright /print + page.pdf"	scripts/export-pdf.mjs	main	EXPORT	GENERIC_ENGINE	runtime	args.in + args.out	no	no	low	none	P3	"scripts/export-pdf.mjs:200-378"
"Export PDF: chunks de 50 páginas"	scripts/export-pdf.mjs	main (chunkSize)	EXPORT	GENERIC_ENGINE	runtime	hardcoded chunkSize=50	no	no	low	none	P3	"scripts/export-pdf.mjs:333-366"
"Export PDF: pdfunite"	scripts/export-pdf.mjs	runPdfUnite	EXPORT	GENERIC_ENGINE	runtime	spawn('pdfunite', ...)	no	no	low	none	P3	"scripts/export-pdf.mjs:150-159"
"Export PDF: Ghostscript /printer recompact"	scripts/export-pdf.mjs	runGhostscriptRecompress	EXPORT	GENERIC_ENGINE	runtime	spawn('gs', ...)	no	no	low	none	P3	"scripts/export-pdf.mjs:168-198"
"Export PDF: preflight gate (errors>0 → abort)"	scripts/export-pdf.mjs	main (preflight)	EXPORT	GENERIC_ENGINE	runtime	__KALLISTIS_PREFLIGHT__	no	no	low	none	P3	"scripts/export-pdf.mjs:257-285"
"Export PDF: trim 140mm fallback hardcoded"	scripts/export-pdf.mjs	main (pdfOptions)	EXPORT	GENERIC_ENGINE	runtime	hardcoded "140mm"/"210mm" fallback	yes (vs tokens.css + types.ts DEFAULT_TOKENS)	no	low	Consolidar em TRIM	17.5	P2	"scripts/export-pdf.mjs:320-321"
"Editorial planner: tokenize + score + assign"	scripts/editorial-planner.mjs	planEditorialAssets / scoreAsset / isApprovedAsset / tokens / assetStatus / familyForAsset	PAGINATION	GENERIC_ENGINE	runtime	manifest	no	no	low	none	P3	"scripts/editorial-planner.mjs"
"build-p001-p030: legacy project builder"	scripts/build-p001-p030.mjs	main	LEGACY	PROJECT_OVERRIDE	runtime	hardcoded paths /home/tonyus-dev/Downloads/	no	no	low	Drocar	P2	"scripts/build-p001-p030.mjs:611"
"audit-editorial-mvp: hardcoded /home/tonyus-dev/Downloads"	scripts/audit-editorial-mvp.mjs	SOURCE	LEGACY	PROJECT_OVERRIDE	runtime	hardcoded path	no	no	low	Drocar	P2	"scripts/audit-editorial-mvp.mjs:11"
"write-reconstruction-reports: hardcoded /home/tonyus-dev/Downloads"	scripts/write-reconstruction-reports.mjs	source	LEGACY	PROJECT_OVERRIDE	runtime	hardcoded path	no	no	low	Drocar	P2	"scripts/write-reconstruction-reports.mjs:97"
"finalize-v1-4-report: hardcoded /home/tonyus-dev/Downloads"	scripts/finalize-v1-4-report.mjs	main	LEGACY	PROJECT_OVERRIDE	runtime	hardcoded path	no	no	low	Drocar	P2	"scripts/finalize-v1-4-report.mjs:13"
"create-v1-4-manifest"	scripts/create-v1-4-manifest.mjs	main	LEGACY	PROJECT_OVERRIDE	runtime	hardcoded	no	no	low	Drocar	P2	"scripts/create-v1-4-manifest.mjs:97"
"create-v1-4-contact-sheets (Python)"	scripts/create-v1-4-contact-sheets.py	main	LEGACY	PROJECT_OVERRIDE	runtime	hardcoded	no	no	low	Drocar	P2	"scripts/create-v1-4-contact-sheets.py"
"crop-v1-4-prepress (Python)"	scripts/crop-v1-4-prepress.py	main	LEGACY	PROJECT_OVERRIDE	runtime	hardcoded	no	no	low	Drocar	P2	"scripts/crop-v1-4-prepress.py"
"prepare-v1-4-prepress (Python)"	scripts/prepare-v1-4-prepress.py	main	LEGACY	PROJECT_OVERRIDE	runtime	hardcoded	no	no	low	Drocar	P2	"scripts/prepare-v1-4-prepress.py"
"fix-v1-4-candidate-meta (Python)"	scripts/fix-v1-4-candidate-meta.py	main	LEGACY	PROJECT_OVERRIDE	runtime	hardcoded	no	no	low	Drocar	P2	"scripts/fix-v1-4-candidate-meta.py"
"generate-review-pages"	scripts/generate-review-pages.mjs	main	LEGACY	PROJECT_OVERRIDE	runtime	hardcoded	no	no	low	Drocar	P2	"scripts/generate-review-pages.mjs:144"
"freeze-v15-pages-001-087"	scripts/freeze-v15-pages-001-087.mjs	main	LEGACY	PROJECT_OVERRIDE	runtime	hardcoded	no	no	low	Drocar	P2	"scripts/freeze-v15-pages-001-087.mjs:113"
"build-editorial-asset-manifest (gera public/editorial-asset-manifest.json)"	scripts/build-editorial-asset-manifest.mjs	main	ASSET_PIPELINE	PROJECT_OVERRIDE	runtime	KALLISTIS_RECONSTRUCAO_ASSETS.tsv	no	no	low	Documentar	P3	"scripts/build-editorial-asset-manifest.mjs:157"
"abrir-kallistis-book-maker.sh"	scripts/abrir-kallistis-book-maker.sh	main	LOCAL_DEFAULT	PROJECT_OVERRIDE	runtime	hardcoded /home/tonyus-dev/.bun/bin/bun	no	no	low	Documentar como local default	P3	"scripts/abrir-kallistis-book-maker.sh:7"
"KALLISTIS-Book-Maker.desktop"	KALLISTIS-Book-Maker.desktop	main	LOCAL_DEFAULT	PROJECT_OVERRIDE	runtime	hardcoded /home/tonyus-dev/Portifolio/kallistis-book/...	no	no	low	Documentar como local default	P3	"KALLISTIS-Book-Maker.desktop:5-6"
"kallistis-production-plan.json (formato externo)"	projects/kallistis-production-plan.json	*	LEGACY	PROJECT_OVERRIDE	policy	format { pages: { "p-NNN": { status, brief, textSources, assets, notes, review } } }	no	no (dead code)	medium	Drocar / mover para .gitignore	P2	"projects/kallistis-production-plan.json:1-123"
"public/editorial-asset-manifest.json (manifesto aprovado)"	public/editorial-asset-manifest.json	*	ASSET_PIPELINE	PROJECT_OVERRIDE	policy	"invetory: /home/tonyus-dev/.../KALLISTIS_RECONSTRUCAO_ASSETS.tsv"	yes (3 manifests paralelos)	no	medium	Consolidar manifest paths	18	P2	"public/editorial-asset-manifest.json:1-300"
"drive-image-inventory.json (paths absolutos da máquina original)"	drive-image-inventory.json	*	ASSET_PIPELINE	PROJECT_OVERRIDE	policy	sourceRoot: /home/tonyus-dev/...	no	no	low	Remover sourceRoot absoluto	P2	"drive-image-inventory.json:1-100"
"drive-image-disposition.csv"	drive-image-disposition.csv	*	ASSET_PIPELINE	PROJECT_OVERRIDE	policy	hardcoded STATUS + contexts	no	no	low	none	P3	"drive-image-disposition.csv:1-50"
"KALLISTIS_EDITORIAL_ASSETS.tsv (stub 278B)"	KALLISTIS_EDITORIAL_ASSETS.tsv	*	LEGACY	PROJECT_OVERRIDE	policy	hardcoded	no	no (dead code)	low	Drocar	P3	"KALLISTIS_EDITORIAL_ASSETS.tsv:1-10"
"KALLISTIS_EDITORIAL_COVERAGE.md / MVP_REPORT.md / RECONSTRUCAO_*.{tsv,md}"	raiz + _review	*	HISTORICAL	PROJECT_OVERRIDE	policy	hardcoded paths	no	no	low	Mover para /docs/audit ou dropar	P3	"KALLISTIS_EDITORIAL_MVP_REPORT.md:11"
"KALLISTIS_Manual_do_Mundo_v1.4_400p_CANDIDATO.manifest.json + .report.json"	raiz	*	HISTORICAL	PROJECT_OVERRIDE	policy	hardcoded paths	no	no	low	Mover para /docs/history	P3	"KALLISTIS_Manual_do_Mundo_v1.4_400p_CANDIDATO.manifest.json:1-5"
"KALLISTIS_Manual_do_Mundo_v1.5_400p_CANDIDATO-{56,57}_1.png"	raiz	*	HISTORICAL	PROJECT_OVERRIDE	policy	hardcoded	no	no (órfão)	low	Drocar ou mover para /docs/history	P3	"raiz"
"contact-sheets/KALLISTIS_v1.4_pages_001-400.jpg (16 arquivos)"	contact-sheets	*	HISTORICAL	PROJECT_OVERRIDE	policy	hardcoded	no	no	low	Mover para /docs/history	P3	"contact-sheets/KALLISTIS_v1.4_pages_001-400.jpg"
"_review/{completo-v1, completo-v1.3, completo-v1.3-final, historia-v4, historia-v5, partes-i-iv-v1}/"	_review	*	HISTORICAL	PROJECT_OVERRIDE	policy	hardcoded	no	no	low	Mover para /docs/history	P3	"_review/"
"01_FONTE_UNICA/, source/, 03_OUTPUT_ESPERADO/, work/checkpoints/ (DOCX espelhados)"	01_FONTE_UNICA, source, 03_OUTPUT_ESPERADO, work/checkpoints	*	LEGACY	PROJECT_OVERRIDE	policy	hardcoded	yes (3 cópias)	no	low	Drocar um dos espelhos	P2	"01_FONTE_UNICA, source, 03_OUTPUT_ESPERADO, work/checkpoints"
"00_COMECE_AQUI/PROMPT_ANTIGRAVITY_EDICAO_DEFINITIVA_KALLISTIS_v1.1.md"	00_COMECE_AQUI	*	EDITORIAL_POLICY	PROJECT_OVERRIDE	policy	hardcoded SHA-256 + roles	no	no	low	none	P3	"00_COMECE_AQUI/PROMPT_ANTIGRAVITY_EDICAO_DEFINITIVA_KALLISTIS_v1.1.md"
"02_AUDITORIA/AUDITORIA_PRE_EDICAO_KALLISTIS_CLAUDE_PRO_v1.0.md"	02_AUDITORIA	*	HISTORICAL	PROJECT_OVERRIDE	policy	hardcoded	no	no	low	none	P3	"02_AUDITORIA/AUDITORIA_PRE_EDICAO_KALLISTIS_CLAUDE_PRO_v1.0.md"
"03_OUTPUT_ESPERADO/ARQUIVOS_ESPERADOS.txt"	03_OUTPUT_ESPERADO	*	EDITORIAL_POLICY	PROJECT_OVERRIDE	policy	hardcoded	no	no	low	none	P3	"03_OUTPUT_ESPERADO/ARQUIVOS_ESPERADOS.txt"
"MANIFESTO_SHA256.txt"	raiz	*	EDITORIAL_POLICY	PROJECT_OVERRIDE	policy	hardcoded	no	no	low	Adicionar SHA do manuscrito v2	P3	"MANIFESTO_SHA256.txt"
"KALLISTIS_SKILL_ESCRITA_AUTORAL/"	raiz	*	EDITORIAL_POLICY	PROJECT_OVERRIDE	policy	hardcoded	no	no	low	none	P3	"KALLISTIS_SKILL_ESCRITA_AUTORAL/"
"book_maker/migrations/0001_initial.sql (D1 schema)"	book_maker/migrations	*	PERSISTENCE	GENERIC_ENGINE	policy	hardcoded DDL	no	no	low	none	P3	"book_maker/migrations/0001_initial.sql"
"book_maker/wrangler.jsonc (Cloudflare config)"	book_maker/wrangler.jsonc	*	PERSISTENCE	GENERIC_ENGINE	policy	hardcoded bindings	no	no	low	none	P3	"book_maker/wrangler.jsonc"
"book_maker/vite.config.ts (TanStack Start + Nitro)"	book_maker/vite.config.ts	*	GENERIC_ENGINE	GENERIC_ENGINE	policy	hardcoded	no	no	low	none	P3	"book_maker/vite.config.ts"
"book_maker/bun.lock"	book_maker/bun.lock	*	PERSISTENCE	GENERIC_ENGINE	policy	hardcoded	no	no	low	none	P3	"book_maker/bun.lock"
"book_maker/.github/workflows/{ci,deploy}.yml"	book_maker/.github/workflows	*	GENERIC_ENGINE	GENERIC_ENGINE	policy	hardcoded	no	no	low	none	P3	"book_maker/.github/workflows"
